Place Of Service,Service Type,Plan,Group Size,In Network,Is Covered,Date Of Service Min,Date Of Service Max,Covered in Full,Copay,Coinsurance
Outpatient,opDialysisPhysician,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,opDialysisPhysician,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,opDialysisPhysician,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,opMentalHealth,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,opMentalHealth,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,opMentalHealth,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,opMentalHealth,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,organTransplant,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,organTransplant,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,organTransplant,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,organTransplant,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,organTransplant,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,organTransplant,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,orthotics,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,orthotics,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthotics,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,orthotics,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,orthotics,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,orthotics,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,orthoticShoeInserts,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,orthoticShoeInserts,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,orthoticShoeInserts,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,orthoticShoeInserts,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,orthoticShoeInserts,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,orthoticShoeInserts,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,ostomySupplies,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,ostomySupplies,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,ostomySupplies,PL622,L,Y,N,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,ostomySupplies,PL622,L,Y,N,1/1/2016,12/31/2023,N,pcpCopay,N
Office,ostomySupplies,PL622,L,Y,N,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,ostomySupplies,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,painManagementServices,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,painManagementServices,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,painManagementServices,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,painManagementServices,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,painManagementServices,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,painManagementServices,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,pcpVisit,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,pcpVisit,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,pcpVisit,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,pcpVisit,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,pcpVisit,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,pcpVisit,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,petScans,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,petScans,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,petScans,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,petScans,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,petScans,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,petScans,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,physicalTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,physicalTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,physicalTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,physicalTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,"""$30""",N
Office,physicalTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,"""$30""",N
Inpatient,physicalTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,preferredLab,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,preferredLab,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,preferredLab,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,preferredLab,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,preferredLab,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,preferredLab,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preferredRadiology,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredRadiology,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredRadiology,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,preferredRadiology,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,preferredRadiology,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,preferredRadiology,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preNatalVisits,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preNatalVisits,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,preNatalVisits,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,preNatalVisits,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,preNatalVisits,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,prostateCaScreening,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,prostateCaScreening,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,prostateCaScreening,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,prostateCaScreening,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,prostateCaScreening,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,prostateCaScreening,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,prosthetics,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,prosthetics,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,prosthetics,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,prosthetics,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,prosthetics,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,prosthetics,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,pulmonaryRehab,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,pulmonaryRehab,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,pulmonaryRehab,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,pulmonaryRehab,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,pulmonaryRehab,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,pulmonaryRehab,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,radiationTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,radiationTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,radiationTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,"""$30""",N
Outpatient,radiationTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,"""$30""",N
Office,radiationTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,"""$30""",N
Inpatient,radiationTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,routineFootCare,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,routineFootCare,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,routineFootCare,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineFootCare,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,routineFootCare,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,routineFootCare,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,routineGynExam,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,routineGynExam,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,routineGynExam,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,routineGynExam,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,routineMammogram,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,routineMammogram,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,routineMammogram,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,routineMammogram,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,routinePapSmear,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,routinePapSmear,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,routinePapSmear,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,routinePapSmear,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,secondOpinions,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,secondOpinions,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,secondOpinions,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,secondOpinions,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,secondOpinions,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,secondOpinions,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,selfInjectibles,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,selfInjectibles,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,selfInjectibles,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,selfInjectibles,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,selfInjectibles,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,selfInjectibles,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Office,sickEyeExams,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,sickEyeExams,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,sickEyeExams,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,sickEyeExams,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,sickEyeExams,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,sickEyeExams,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,sleepStudies,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,sleepStudies,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,sleepStudies,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,sleepStudies,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,sleepStudies,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,sleepStudies,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,smokingCessation,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,smokingCessation,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,smokingCessation,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,smokingCessation,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,smokingCessation,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,smokingCessation,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,specialistVisit,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,specialistVisit,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,specialistVisit,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,specialistVisit,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,specialistVisit,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,specialistVisit,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,speechTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,speechTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,speechTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,speechTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,speechTherapy,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,speechTherapy,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,surgery,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,surgery,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,surgery,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,surgery,PL622,L,Y,Y,1/1/2016,12/31/2023,N,opSurgeryCopay,N
Office,surgery,PL622,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Inpatient,surgery,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,tmjDental,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,tmjDental,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,tmjDental,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,tmjDental,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,tmjDental,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,tmjDental,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,transgenderSurgery,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,transgenderSurgery,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,transgenderSurgery,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,transgenderSurgery,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,transgenderSurgery,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,transgenderSurgery,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,travelImmunizations,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,travelImmunizations,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,travelImmunizations,PL622,L,Y,Y,1/1/2016,12/31/2023,N,Copay Minimal,N
Outpatient,travelImmunizations,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,travelImmunizations,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,travelImmunizations,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,urgentCare,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,urgentCare,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,urgentCare,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,urgentCare,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,urgentCare,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,urgentCare,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,visionContactLens,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,visionContactLens,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,visionContactLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,visionContactLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,visionContactLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,visionContactLens,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,visionExam,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,visionExam,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,visionExam,PL622,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,visionExam,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,visionExam,PL622,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,visionExam,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,visionFrame,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,visionFrame,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,visionFrame,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,visionFrame,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,visionFrame,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,visionFrame,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,visionLens,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,visionLens,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,visionLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,visionLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,visionLens,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,visionLens,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,weightManagementProgram,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,weightManagementProgram,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,weightManagementProgram,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,weightManagementProgram,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,weightManagementProgram,PL622,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,weightManagementProgram,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,wellChildVisits,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,wellChildVisits,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,wellChildVisits,PL622,L,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,wellChildVisits,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,wellChildVisits,PL622,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,wellChildVisits,PL622,L,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,wigs,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,wigs,PL622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,wigs,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,wigs,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,wigs,PL622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,wigs,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Office,artificialInsemination,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,artificialInsemination,PL622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,artificialInsemination,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,artificialInsemination,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,artificialInsemination,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,artificialInsemination,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,brapostmastectomy,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,brapostmastectomy,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,brapostmastectomy,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Office,brapostmastectomy,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Outpatient,brapostmastectomy,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Inpatient,brapostmastectomy,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,catScans,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,catScans,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,catScans,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,catScans,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,catScans,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,catScans,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,dentalPreventive,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,dentalPreventive,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,dentalPreventive,PL622,,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,dentalPreventive,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,dentalPreventive,PL622,,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,dentalPreventive,PL622,,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,impactedTeethRemoval,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,impactedTeethRemoval,PL622,,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,impactedTeethRemoval,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,impactedTeethRemoval,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,impactedTeethRemoval,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,impactedTeethRemoval,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,invitro,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,invitro,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,invitro,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,invitro,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,invitro,PL622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,invitro,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,medicalSupplies,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,medicalSupplies,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,medicalSupplies,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Office,medicalSupplies,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Outpatient,medicalSupplies,PL622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Inpatient,medicalSupplies,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,organDonation,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,organDonation,PL622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,organDonation,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,organDonation,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,organDonation,PL622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,organDonation,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,dentalAccidental,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,dentalAccidental,PL622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,dentalAccidental,PL823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,dentalAccidental,PL823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,dentalAccidental,PL823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,dentalAccidental,PL823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,acupuncture,PL823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,acupuncture,PL823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,acupuncture,PL823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,acupuncture,PL823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,acupuncture,PL823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,acupuncture,PL823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,adultImmunizations,PL823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,adultImmunizations,PL823,L,N,N,1/1/2016,12/31/2023,N,N,N
